"","gencodeID","Symbol","logFC","t","P.Value","adj.P.Val","B","ensemblID","Length","gene_type","EntrezID","AveExpr"
"ENSMUSG00000060802.8","ENSMUSG00000060802.8","B2m",3.3908291496336,20.0529349656263,1.6421784007932e-08,7.53835382925e-05,10.3755558200926,"ENSMUSG00000060802",860,"protein_coding",12010,8.23899469787136
"ENSMUSG00000069874.7","ENSMUSG00000069874.7","Irgm2",3.81112354762358,19.80171504575,1.82610326938827e-08,7.53835382925e-05,10.302562431916,"ENSMUSG00000069874",3690,"protein_coding",54396,5.59492163396814
"ENSMUSG00000046879.6","ENSMUSG00000046879.6","Irgm1",4.34688020526189,19.656820294122,1.94255548243664e-08,7.53835382925e-05,10.2434296612693,"ENSMUSG00000046879",5810,"protein_coding",15944,5.90882887148509
"ENSMUSG00000040253.15","ENSMUSG00000040253.15","Gbp7",3.47435747143633,19.5211354803084,2.05914973563386e-08,7.53835382925e-05,10.1870264178193,"ENSMUSG00000040253",5614,"protein_coding",229900,5.39665660562752
"ENSMUSG00000067212.8","ENSMUSG00000067212.8","H2-T23",3.99979446255959,19.48655007498,2.09010206180133e-08,7.53835382925e-05,10.1703580586541,"ENSMUSG00000067212",2889,"protein_coding",15040,5.50302710562755
"ENSMUSG00000078853.8","ENSMUSG00000078853.8","Igtp",4.56185065002409,19.0476958248871,2.53138987388446e-08,7.53835382925e-05,9.97774338004627,"ENSMUSG00000078853",2022,"protein_coding",16145,5.69132508095713
"ENSMUSG00000026104.14","ENSMUSG00000026104.14","Stat1",3.54108382533187,18.8639340519148,2.74625530533799e-08,7.53835382925e-05,9.90381482349517,"ENSMUSG00000026104",7105,"protein_coding",20846,5.7509394135462
"ENSMUSG00000041515.9","ENSMUSG00000041515.9","Irf8",3.06481428382216,18.7695328245884,2.86447897248259e-08,7.53835382925e-05,9.81403638973554,"ENSMUSG00000041515",7055,"protein_coding",15900,3.80964131970083
"ENSMUSG00000040483.15","ENSMUSG00000040483.15","Xaf1",2.94812863754843,18.407588281501,3.37329070075373e-08,7.9896390247352e-05,9.67108928771257,"ENSMUSG00000040483",4689,"protein_coding",327959,3.89952940202643
"ENSMUSG00000000791.9","ENSMUSG00000000791.9","Il12rb1",5.04928436505339,19.9340778354601,1.72648920817693e-08,7.53835382925e-05,9.58875828750895,"ENSMUSG00000000791",4105,"protein_coding",16161,1.68156558665319
"ENSMUSG00000016496.7","ENSMUSG00000016496.7","Cd274",4.0466918241153,17.6881196023734,4.71249624018046e-08,8.80653205423154e-05,9.34112092406891,"ENSMUSG00000016496",3622,"protein_coding",60533,4.13341084143655
"ENSMUSG00000038642.10","ENSMUSG00000038642.10","Ctss",2.88525965333953,17.4599279938491,5.2538725557208e-08,8.80653205423154e-05,9.16909096671614,"ENSMUSG00000038642",1358,"protein_coding",13040,7.62220714633427
"ENSMUSG00000028268.14","ENSMUSG00000028268.14","Gbp3",3.84084818130332,16.9300313732857,6.79913253207351e-08,8.80653205423154e-05,9.00248825124887,"ENSMUSG00000028268",3265,"protein_coding",55932,5.03840739427763
"ENSMUSG00000030579.10","ENSMUSG00000030579.10","Tyrobp",2.08188678310027,16.6535560559453,7.80193023900294e-08,8.80653205423154e-05,8.86308429863251,"ENSMUSG00000030579",667,"protein_coding",22177,4.4204689638554
